D_target;pinf;pcont;kk;tt;cc;V_0;V_eff;V_t;lambda_t;P_disease_t;sim;nn
10;0.1;0.6;0.3;5;12;1;0;0;0;7.13049143384881e-05;10_19;20
10;0.1;0.6;0.3;6;12;1;0;0;0;0.000103415006735497;10_19;20
10;0.1;0.6;0.3;7;12;1;0;0;0;0.000146757462412661;10_19;20
10;0.1;0.6;0.3;8;12;1;0;0;0;0.000205260678268981;10_19;20
10;0.1;0.6;0.3;9;12;1;0;0;0;0.000284226330457327;10_19;20
10;0.1;0.6;0.3;10;12;1;0;0;0;0.000390808920069707;10_19;20
10;0.1;0.6;0.3;11;12;1;0;0;0;0.000534662345901604;10_19;20
10;0.1;0.6;0.3;12;12;1;0;0;0;0.00072881132733249;10_19;20
10;0.1;0.6;0.3;13;12;1;0;0;0;0.000990825227285996;10_19;20
10;0.1;0.6;0.3;14;12;1;0;0;0;0.00134439804159914;10_19;20
10;0.1;0.6;0.3;0;12;2;2;2;24;0;10_20;20
10;0.1;0.6;0.3;1;12;2;2;2.69971761515201;32.3966113818241;1.43306093653983e-05;10_20;20
10;0.1;0.6;0.3;2;12;2;2;3.64423760078102;43.7308512093722;3.36745829269125e-05;10_20;20
10;0.1;0.6;0.3;3;12;2;2;4.9192062223139;59.0304746677668;5.9785622545272e-05;10_20;20
10;0.1;0.6;0.3;4;12;2;2;6.64023384547309;79.6828061456771;9.50307580104282e-05;10_20;20
10;0.1;0.6;0.3;5;12;2;2;8.96337814067613;107.560537688114;0.000142604744286179;10_20;20
10;0.1;0.6;0.3;6;12;2;2;12.0992949288259;145.191539145911;0.000206819318807394;10_20;20
10;0.1;0.6;0.3;7;12;2;2;16.3323398251353;195.988077901624;0.00029349338707263;10_20;20
10;0.1;0.6;0.3;8;12;2;2;22.0463527612832;264.556233135398;0.000410479224591809;10_20;20
10;0.1;0.6;0.3;9;12;2;2;29.7594634497457;357.113561396948;0.000568371876307761;10_20;20
10;0.1;0.6;0.3;10;12;2;2;40.1710738463753;482.052886156504;0.00078146510852739;10_20;20
10;0.1;0.6;0.3;11;12;2;2;54.2252778413158;650.703334095789;0.00106903882797915;10_20;20
10;0.1;0.6;0.3;12;12;2;2;73.1964688873559;878.357626648271;0.00145709148871409;10_20;20
10;0.1;0.6;0.3;13;12;2;2;98.8048982110603;1185.65877853272;0.00198066871994096;10_20;20
10;0.1;0.6;0.3;14;12;2;2;133.37266208185;1600.4719449822;0.00268698867710393;10_20;20
100;0.1;0.6;0.3;0;12;14;5;5;60;0;100_1;20
100;0.1;0.6;0.3;1;12;14;5;6.74929403788002;80.9915284545602;0.000100309952966948;100_1;20
100;0.1;0.6;0.3;2;12;14;5;9.11059400195254;109.327128023431;0.000235698268296725;100_1;20
100;0.1;0.6;0.3;3;12;14;5;12.2980155557847;147.576186669417;0.000418424304561849;100_1;20
100;0.1;0.6;0.3;4;12;14;5;16.6005846136827;199.207015364193;0.000665025688362797;100_1;20
100;0.1;0.6;0.3;5;12;14;5;22.4084453516903;268.901344220284;0.000997806253114408;100_1;20
100;0.1;0.6;0.3;6;12;14;5;30.2482373220647;362.978847864777;0.00144683728237305;100_1;20
100;0.1;0.6;0.3;7;12;14;5;40.8308495628383;489.970194754059;0.00205264568835195;100_1;20
100;0.1;0.6;0.3;8;12;14;5;55.115881903208;661.390582838496;0.00286981863478264;100_1;20
100;0.1;0.6;0.3;9;12;14;5;74.3986586243641;892.78390349237;0.00397182557848863;100_1;20
100;0.1;0.6;0.3;10;12;14;5;100.427684615938;1205.13221539126;0.00545744800770231;100_1;20
100;0.1;0.6;0.3;11;12;14;5;135.563194603289;1626.75833523947;0.00745931478690187;100_1;20
100;0.1;0.6;0.3;12;12;14;5;182.99117221839;2195.89406662068;0.0101551631107126;100_1;20
100;0.1;0.6;0.3;13;12;14;5;247.012245527651;2964.14694633181;0.0137825684405106;100_1;20
100;0.1;0.6;0.3;14;12;14;5;333.431655204626;4001.17986245551;0.018657979840451;100_1;20
100;0.1;0.6;0.3;0;12;5;1;1;12;0;100_2;20
